date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-02-26,57.830002,56.82,55.700001,51.799999,53.299999,57.919998,70.019997,79.900002,81.599998,73.830002,66.650002,65.029999,58.419998,58.189999,61.290001,64.949997,69.989998,77.0,85.32,81.010002,72.209999,65.690002,65.209999,60.759998
2024-02-27,57.619999,57.549999,57.349998,56.869999,57.349998,63.099998,74.309998,95.629997,95.779999,80.809998,68.709999,64.93,59.259998,59.25,64.709999,72.059998,79.82,98.019997,111.800003,105.169998,84.360001,72.370003,70.269997,64.970001
2024-02-28,60.360001,59.400002,61.34,63.459999,63.740002,67.440002,74.300003,98.889999,104.489998,85.459999,73.989998,67.550003,63.099998,59.259998,60.029999,68.739998,73.57,93.040001,93.239998,78.290001,65.440002,52.27,49.889999,47.360001
2024-02-29,51.830002,50.720001,46.700001,45.07,41.0,42.639999,47.07,47.240002,49.209999,49.740002,50.0,24.18,25.040001,25.01,25.49,31.700001,41.939999,62.610001,61.869999,54.0,29.1,25.049999,25.049999,25.02
2024-03-01,25.43,26.01,24.809999,26.08,52.029999,52.52,54.459999,58.849998,59.939999,59.950001,59.939999,57.98,54.110001,56.599998,66.720001,72.209999,78.279999,89.400002,93.730003,87.190002,77.489998,71.620003,70.059998,66.389999
2024-03-02,59.950001,56.029999,56.02,55.48,54.880001,55.990002,56.580002,58.799999,59.75,65.75,60.439999,59.18,55.830002,54.900002,59.860001,66.080002,73.0,80.629997,93.599998,89.900002,76.980003,69.809998,60.939999,54.990002
2024-03-03,54.5,53.630001,53.799999,55.59,55.310001,55.82,56.0,56.880001,54.77,53.990002,52.009998,49.459999,47.509998,42.509998,46.84,54.130001,60.279999,75.580002,84.360001,79.629997,80.209999,75.0,62.150002,72.419998
2024-03-04,69.129997,59.549999,58.700001,58.799999,58.990002,59.880001,60.919998,93.580002,99.779999,82.199997,63.720001,58.52,59.25,59.209999,59.599998,59.869999,60.419998,72.330002,74.489998,62.779999,60.889999,59.240002,58.240002,57.869999
2024-03-05,56.209999,56.48,56.459999,56.360001,56.470001,57.389999,58.380001,60.299999,61.240002,59.639999,59.18,59.220001,58.610001,58.59,59.060001,59.650002,60.689999,73.860001,104.379997,96.599998,68.690002,73.07,61.98,60.790001
2024-03-06,71.0,70.699997,70.459999,69.739998,70.459999,73.910004,83.980003,106.639999,108.699997,87.209999,75.919998,72.019997,69.349998,69.290001,70.639999,72.260002,81.059998,100.0,119.580002,119.25,93.400002,80.150002,77.980003,74.339996
2024-03-07,73.330002,72.32,70.339996,68.709999,69.889999,73.129997,84.269997,103.199997,96.699997,79.089996,71.309998,66.160004,61.689999,60.259998,63.330002,66.040001,69.919998,89.199997,105.709999,90.300003,82.489998,73.349998,73.32,67.720001
2024-03-08,68.449997,66.959999,67.010002,65.989998,66.300003,67.110001,82.910004,95.059998,88.889999,72.57,59.369999,55.779999,54.169998,52.799999,51.98,52.720001,58.110001,69.610001,83.760002,79.980003,71.18,64.900002,64.790001,59.889999
2024-03-09,57.950001,54.91,53.959999,53.419998,49.790001,47.790001,50.470001,53.060001,53.060001,48.119999,32.939999,0.2,0.01,0.01,0.01,28.190001,53.93,59.849998,62.060001,60.16,56.84,54.02,52.98,50.32
2024-03-10,48.650002,46.060001,40.98,35.549999,32.389999,32.279999,33.91,39.490002,34.82,25.25,4.63,4.98,1.51,1.58,3.41,14.41,48.75,55.18,57.639999,55.549999,50.009998,52.450001,50.009998,49.09
2024-03-11,36.68,33.900002,34.84,35.0,44.470001,54.950001,56.439999,62.27,64.790001,62.849998,61.900002,60.439999,58.849998,58.919998,58.720001,59.950001,61.610001,65.32,75.190002,72.099998,69.199997,67.550003,64.690002,65.769997
2024-03-12,69.190002,65.559998,66.510002,65.199997,65.959999,71.370003,87.059998,96.550003,100.779999,93.809998,85.419998,80.68,78.440002,78.260002,79.019997,86.339996,101.610001,113.059998,134.919998,124.57,97.480003,83.629997,78.93,70.330002
2024-03-13,63.93,62.299999,61.790001,60.889999,62.459999,66.800003,77.32,88.269997,89.910004,77.709999,68.07,64.849998,64.610001,64.830002,63.959999,67.839996,71.769997,89.910004,95.449997,65.190002,51.549999,54.560001,53.77,51.779999
2024-03-14,51.82,50.450001,49.630001,49.130001,50.709999,51.529999,56.5,57.919998,59.650002,57.889999,52.419998,49.84,49.709999,46.959999,47.73,53.68,55.84,67.809998,67.080002,58.25,55.990002,55.139999,54.450001,32.02
2024-03-15,47.889999,46.580002,45.57,43.950001,37.41,43.360001,48.299999,57.75,63.93,53.799999,46.560001,39.27,38.34,37.950001,43.849998,50.310001,54.529999,60.48,58.509998,57.200001,55.82,51.709999,50.16,38.220001
2024-03-16,38.049999,38.09,36.68,35.619999,34.900002,34.259998,34.279999,35.57,37.080002,38.889999,39.189999,38.889999,35.82,21.9,12.99,29.0,34.220001,38.220001,37.919998,33.16,29.690001,28.879999,25.370001,17.030001
2024-03-17,26.4,27.51,29.110001,30.299999,35.049999,38.470001,54.529999,56.599998,50.580002,47.150002,45.400002,45.91,41.810001,40.150002,48.060001,56.119999,71.760002,82.860001,94.309998,88.290001,75.080002,59.450001,57.049999,55.950001
2024-03-18,56.18,55.959999,55.82,55.68,55.860001,57.259998,84.25,97.709999,94.160004,80.809998,72.019997,65.040001,62.950001,66.660004,67.279999,71.629997,77.080002,107.650002,142.509995,126.480003,101.230003,79.739998,76.5,72.660004
2024-03-19,70.269997,69.529999,69.93,69.839996,56.860001,69.309998,87.349998,110.470001,95.870003,72.019997,64.150002,57.41,54.470001,55.360001,59.029999,68.370003,71.93,101.459999,128.270004,125.870003,107.360001,86.879997,81.5,76.099998
2024-03-20,76.010002,73.400002,74.900002,75.699997,76.360001,80.900002,116.0,116.239998,98.330002,70.629997,66.0,65.389999,61.43,63.950001,64.349998,70.779999,87.07,119.68,168.539993,159.050003,124.949997,106.519997,96.07,79.980003
2024-03-21,76.18,73.370003,71.550003,69.82,69.300003,71.739998,87.110001,98.209999,102.290001,80.0,72.410004,68.029999,64.639999,59.959999,65.239998,64.690002,75.269997,100.900002,127.129997,122.849998,93.080002,77.690002,75.620003,56.919998
2024-03-22,37.68,34.259998,32.240002,28.92,31.92,36.939999,42.32,48.049999,53.23,56.32,51.810001,49.849998,49.759998,50.259998,48.75,49.810001,53.419998,63.939999,60.630001,62.169998,61.09,60.5,60.119999,54.509998
2024-03-23,36.790001,49.68,51.009998,49.990002,50.439999,48.82,47.869999,43.48,37.720001,23.93,2.01,1.53,0.71,0.01,0.01,2.02,14.78,48.290001,54.889999,58.639999,51.810001,46.970001,40.279999,28.389999
2024-03-24,36.259998,33.869999,33.369999,33.540001,19.92,26.82,24.9,36.150002,41.919998,45.09,46.25,48.23,49.630001,49.240002,49.529999,51.23,54.900002,59.400002,75.0,74.900002,66.900002,64.769997,64.269997,62.970001
2024-03-25,62.509998,62.290001,62.48,64.510002,66.959999,77.139999,88.43,113.870003,99.68,77.43,70.050003,63.66,61.849998,63.220001,64.519997,73.970001,81.050003,111.879997,174.699997,149.75,102.730003,82.389999,79.559998,74.739998
2024-03-26,79.900002,73.300003,68.910004,67.980003,70.07,72.279999,80.379997,79.199997,72.099998,59.91,54.849998,52.220001,49.919998,47.990002,49.560001,55.139999,63.689999,66.589996,63.43,61.639999,58.360001,58.009998,56.650002,55.169998
2024-03-27,56.09,56.91,57.099998,53.860001,52.950001,54.139999,56.889999,62.369999,61.5,61.259998,62.860001,57.130001,57.66,59.540001,61.450001,62.200001,76.0,94.440002,120.419998,116.879997,97.599998,84.25,83.019997,74.470001
2024-03-28,79.089996,72.599998,65.239998,58.099998,57.400002,57.52,60.009998,76.050003,80.919998,63.240002,46.16,37.91,32.91,30.290001,29.469999,24.67,34.990002,44.330002,63.68,62.169998,38.919998,36.099998,31.120001,24.08
2024-03-29,20.6,18.379999,12.13,9.99,12.01,12.77,21.49,22.389999,15.94,13.28,16.879999,18.83,13.0,9.86,13.44,26.190001,44.889999,79.93,101.970001,105.449997,87.400002,79.93,75.889999,70.0
2024-03-30,69.300003,58.16,58.880001,58.950001,59.23,65.050003,58.57,47.790001,45.23,41.830002,36.040001,25.08,25.74,12.75,16.26,35.040001,51.290001,56.66,88.110001,59.310001,59.220001,59.029999,70.830002,65.739998
2024-03-31,75.699997,66.709999,66.709999,64.980003,60.48,58.740002,64.459999,71.510002,65.029999,49.310001,42.040001,35.369999,35.459999,33.099998,30.68,32.599998,41.07,66.739998,89.32,117.290001,83.720001,70.0,64.510002,54.900002
2024-04-01,49.950001,48.98,46.060001,43.580002,49.400002,52.349998,58.709999,64.489998,58.709999,60.889999,54.360001,30.389999,18.040001,20.049999,10.03,4.47,4.12,13.15,34.610001,48.529999,49.880001,45.689999,25.969999,7.47
2024-04-02,7.97,1.28,0.61,0.87,1.94,7.27,57.220001,74.360001,67.279999,46.82,38.290001,39.299999,39.279999,38.369999,33.380001,25.1,8.83,41.200001,72.699997,95.389999,94.879997,78.129997,74.860001,70.879997
2024-04-03,74.129997,71.75,70.050003,64.660004,64.889999,68.730003,94.910004,117.93,117.93,100.980003,107.349998,90.809998,82.029999,76.879997,73.040001,71.32,74.860001,90.220001,108.139999,120.349998,99.139999,74.709999,61.490002,55.330002
2024-04-04,54.52,52.009998,50.169998,51.57,51.939999,54.080002,60.900002,77.260002,75.330002,71.790001,69.169998,63.060001,58.080002,56.220001,55.490002,56.169998,57.080002,69.080002,75.360001,90.660004,80.580002,71.529999,69.760002,57.669998
2024-04-05,46.779999,48.27,47.52,46.529999,47.369999,47.290001,74.459999,82.220001,81.0,66.589996,50.5,45.540001,44.43,40.029999,37.07,31.040001,27.610001,39.990002,49.650002,53.400002,53.919998,53.400002,52.73,49.619999
2024-04-06,42.049999,43.779999,44.0,44.869999,47.509998,48.25,49.939999,51.259998,50.23,48.25,39.119999,39.990002,39.549999,37.84,34.919998,39.209999,39.869999,46.279999,52.700001,58.369999,48.279999,45.02,39.860001,25.26
2024-04-07,11.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.16,-3.01,-3.99,-6.55,-10.0,-5.04,-0.16,6.92,91.459999,108.389999,106.400002,89.949997,77.459999,66.330002
2024-04-08,70.769997,66.279999,39.16,41.869999,44.040001,66.339996,101.989998,149.779999,128.520004,85.510002,80.599998,71.230003,64.699997,60.0,57.889999,63.400002,70.0,75.010002,104.900002,137.300003,124.800003,84.849998,77.0,70.190002
2024-04-09,78.209999,69.389999,64.730003,59.02,60.84,65.480003,84.610001,89.949997,79.779999,68.300003,50.48,45.07,37.529999,30.040001,26.93,29.76,39.799999,48.369999,64.32,79.790001,59.950001,48.220001,45.0,34.540001
2024-04-10,9.19,4.1,1.56,1.28,0.17,1.54,3.09,13.58,19.440001,15.64,12.74,6.1,1.59,0.36,0.0,0.01,1.59,16.379999,82.650002,145.460007,141.100006,96.849998,52.560001,47.220001
2024-04-11,40.68,26.67,22.200001,9.99,1.57,1.56,2.61,39.869999,41.549999,30.0,10.05,0.86,0.91,1.1,0.57,12.88,8.68,46.529999,95.419998,134.360001,119.800003,91.050003,72.550003,60.470001
2024-04-12,45.540001,43.57,44.470001,40.82,40.0,40.0,41.290001,48.610001,69.269997,65.589996,42.16,24.940001,20.09,4.98,0.81,0.43,17.219999,39.400002,47.119999,47.150002,47.189999,47.110001,45.889999,44.130001
2024-04-13,23.459999,25.92,19.360001,17.530001,17.459999,23.309999,27.83,33.73,22.6,8.8,-0.02,-4.04,-8.02,-20.200001,-29.32,-31.6,-10.07,2.0,28.65,52.66,40.029999,34.650002,20.6,7.05
2024-04-14,0.43,0.83,0.91,0.42,0.49,2.91,12.55,13.0,7.41,0.0,-2.3,-11.98,-42.139999,-53.310001,-54.0,-40.049999,-6.25,1.57,21.1,87.800003,119.910004,112.610001,97.160004,79.690002
2024-04-15,46.009998,44.860001,70.550003,65.839996,75.230003,86.739998,115.730003,169.149994,153.240005,91.559998,76.239998,57.0,43.0,32.889999,19.5,29.940001,35.580002,46.299999,69.199997,78.919998,77.019997,66.309998,52.93,35.009998
