Scenario_ID,Probability,Hour,Wind_MW,DA_Price,SI_State,Bal_Price
1297,2.2395413419331123e-05,15,282.1255,490.359985,0,416.80598725
1297,2.2395413419331123e-05,16,295.1475,668.51001,0,568.2335085
1297,2.2395413419331123e-05,17,295.086,819.01001,0,696.1585084999999
1297,2.2395413419331123e-05,18,281.4355,936.309998,1,1170.3874974999999
1297,2.2395413419331123e-05,19,270.8465,674.200012,0,573.0700102
1297,2.2395413419331123e-05,20,261.4235,551.02002,0,468.36701700000003
1297,2.2395413419331123e-05,21,245.6175,295.660004,1,369.57500500000003
1297,2.2395413419331123e-05,22,209.561,169.410004,0,143.99850339999998
1297,2.2395413419331123e-05,23,170.685,150.009995,0,127.50849575
1297,2.2395413419331123e-05,24,134.749,134.759995,0,114.54599575
1298,2.2395413419331123e-05,1,130.051,122.25,0,103.9125
1298,2.2395413419331123e-05,2,145.2965,115.309998,1,144.1374975
1298,2.2395413419331123e-05,3,158.9395,109.970001,0,93.47450085
1298,2.2395413419331123e-05,4,172.525,107.360001,1,134.20000124999999
1298,2.2395413419331123e-05,5,187.3525,112.519997,1,140.64999625000002
1298,2.2395413419331123e-05,6,202.3435,123.669998,0,105.1194983
1298,2.2395413419331123e-05,7,223.638,176.190002,1,220.2375025
1298,2.2395413419331123e-05,8,240.452,600.030029,0,510.02552465
1298,2.2395413419331123e-05,9,251.889,655.640015,0,557.29401275
1298,2.2395413419331123e-05,10,262.7765,646.789978,1,808.4874725
1298,2.2395413419331123e-05,11,276.01750000000004,543.859985,1,679.8249812500001
1298,2.2395413419331123e-05,12,287.9595,465.380005,1,581.72500625
1298,2.2395413419331123e-05,13,290.2625,405.01001,0,344.2585085
1298,2.2395413419331123e-05,14,287.7355,415.309998,0,353.0134983
1298,2.2395413419331123e-05,15,282.1255,490.359985,1,612.94998125
1298,2.2395413419331123e-05,16,295.1475,668.51001,0,568.2335085
1298,2.2395413419331123e-05,17,295.086,819.01001,0,696.1585084999999
1298,2.2395413419331123e-05,18,281.4355,936.309998,0,795.8634983
1298,2.2395413419331123e-05,19,270.8465,674.200012,0,573.0700102
1298,2.2395413419331123e-05,20,261.4235,551.02002,1,688.775025
1298,2.2395413419331123e-05,21,245.6175,295.660004,0,251.3110034
1298,2.2395413419331123e-05,22,209.561,169.410004,1,211.76250499999998
1298,2.2395413419331123e-05,23,170.685,150.009995,0,127.50849575
1298,2.2395413419331123e-05,24,134.749,134.759995,1,168.44999375
1299,2.2395413419331123e-05,1,130.051,122.25,1,152.8125
1299,2.2395413419331123e-05,2,145.2965,115.309998,0,98.0134983
1299,2.2395413419331123e-05,3,158.9395,109.970001,1,137.46250125
1299,2.2395413419331123e-05,4,172.525,107.360001,1,134.20000124999999
1299,2.2395413419331123e-05,5,187.3525,112.519997,1,140.64999625000002
1299,2.2395413419331123e-05,6,202.3435,123.669998,1,154.5874975
1299,2.2395413419331123e-05,7,223.638,176.190002,1,220.2375025
1299,2.2395413419331123e-05,8,240.452,600.030029,1,750.03753625
1299,2.2395413419331123e-05,9,251.889,655.640015,0,557.29401275
1299,2.2395413419331123e-05,10,262.7765,646.789978,0,549.7714813
1299,2.2395413419331123e-05,11,276.01750000000004,543.859985,0,462.28098725
1299,2.2395413419331123e-05,12,287.9595,465.380005,0,395.57300425
1299,2.2395413419331123e-05,13,290.2625,405.01001,0,344.2585085
1299,2.2395413419331123e-05,14,287.7355,415.309998,0,353.0134983
1299,2.2395413419331123e-05,15,282.1255,490.359985,1,612.94998125
1299,2.2395413419331123e-05,16,295.1475,668.51001,0,568.2335085
1299,2.2395413419331123e-05,17,295.086,819.01001,0,696.1585084999999
1299,2.2395413419331123e-05,18,281.4355,936.309998,1,1170.3874974999999
1299,2.2395413419331123e-05,19,270.8465,674.200012,0,573.0700102
1299,2.2395413419331123e-05,20,261.4235,551.02002,1,688.775025
1299,2.2395413419331123e-05,21,245.6175,295.660004,0,251.3110034
1299,2.2395413419331123e-05,22,209.561,169.410004,1,211.76250499999998
1299,2.2395413419331123e-05,23,170.685,150.009995,1,187.51249375
1299,2.2395413419331123e-05,24,134.749,134.759995,0,114.54599575
1300,2.2395413419331123e-05,1,130.051,122.25,0,103.9125
1300,2.2395413419331123e-05,2,145.2965,115.309998,1,144.1374975
1300,2.2395413419331123e-05,3,158.9395,109.970001,1,137.46250125
1300,2.2395413419331123e-05,4,172.525,107.360001,1,134.20000124999999
1300,2.2395413419331123e-05,5,187.3525,112.519997,1,140.64999625000002
1300,2.2395413419331123e-05,6,202.3435,123.669998,0,105.1194983
1300,2.2395413419331123e-05,7,223.638,176.190002,0,149.7615017
1300,2.2395413419331123e-05,8,240.452,600.030029,0,510.02552465
1300,2.2395413419331123e-05,9,251.889,655.640015,1,819.5500187499999
1300,2.2395413419331123e-05,10,262.7765,646.789978,1,808.4874725
